player,player_id,season,posteam,full_player_name,position
P.Harvin,32013030-2d30-3032-3639-39381fca7917,2012,MIN,Percy Harvin,WR
P.Harvin,32013030-2d30-3032-3639-39381fca7917,2013,SEA,Percy Harvin,WR
P.Harvin,32013030-2d30-3032-3639-39381fca7917,2014,NYJ,Percy Harvin,WR
P.Harvin,32013030-2d30-3032-3639-39381fca7917,2014,SEA,Percy Harvin,WR
P.Harvin,32013030-2d30-3032-3639-39381fca7917,2015,BUF,Percy Harvin,WR
P.Harvin,32013030-2d30-3032-3639-39381fca7917,2016,BUF,Percy Harvin,WR
P.Hillis,32013030-2d30-3032-3633-3637e7f101fc,2011,CLE,Peyton Hillis,RB
P.Hillis,32013030-2d30-3032-3633-3637e7f101fc,2012,KC,Peyton Hillis,RB
P.Hillis,32013030-2d30-3032-3633-3637e7f101fc,2013,NYG,Peyton Hillis,RB
P.Hillis,32013030-2d30-3032-3633-3637e7f101fc,2014,NYG,Peyton Hillis,RB
P.Laird,32013030-2d30-3033-3533-3432a56eb05a,2019,MIA,Patrick Laird,RB
P.Lasike,32013030-2d30-3033-3137-30365d776198,2016,CHI,Paul Lasike,FB
P.Lindsay,32013030-2d30-3033-3431-303940be801e,2018,DEN,Phillip Lindsay,RB
P.Lindsay,32013030-2d30-3033-3431-303940be801e,2019,DEN,Phillip Lindsay,RB
P.McAfee,32013030-2d30-3032-3731-3435c550621a,2016,IND,Pat McAfee,P
P.McRoberts,32013030-2d30-3033-3236-373972b281d3,2016,LA,Paul McRoberts,WR
P.Parker,32013030-2d30-3032-3734-35301a3b353a,2011,TB,Preston Parker,WR
P.Parker,32013030-2d30-3032-3734-35301a3b353a,2012,TB,Preston Parker,WR
P.Parker,32013030-2d30-3032-3734-35301a3b353a,2014,NYG,Preston Parker,WR
P.Parker,32013030-2d30-3032-3734-35301a3b353a,2015,NYG,Preston Parker,WR
P.Perkins,32013030-2d30-3033-3234-313726a32379,2016,NYG,Paul Perkins,RB
P.Perkins,32013030-2d30-3033-3234-313726a32379,2017,NYG,Paul Perkins,RB
P.Perkins,32013030-2d30-3033-3234-313726a32379,2019,DET,Paul Perkins,RB
P.Peterson,32013030-2d30-3032-3739-3433ed8bd872,2011,ARI,Patrick Peterson,DB
P.Peterson,32013030-2d30-3032-3739-3433ed8bd872,2012,ARI,Patrick Peterson,DB
P.Peterson,32013030-2d30-3032-3739-3433ed8bd872,2013,ARI,Patrick Peterson,DB
P.Ricard,32013030-2d30-3033-3333-37366b4d3595,2017,BAL,Pat Ricard,FB
P.Ricard,32013030-2d30-3033-3333-37366b4d3595,2019,BAL,Pat Ricard,FB
P.Richardson,32013030-2d30-3033-3132-35379863ad69,2014,SEA,Paul Richardson,WR
P.Richardson,32013030-2d30-3033-3132-35379863ad69,2015,SEA,Paul Richardson,WR
P.Richardson,32013030-2d30-3033-3132-35379863ad69,2016,SEA,Paul Richardson,WR
P.Richardson,32013030-2d30-3033-3132-35379863ad69,2017,SEA,Paul Richardson,WR
P.Richardson,32013030-2d30-3033-3132-35379863ad69,2018,WAS,Paul Richardson,WR
P.Richardson,32013030-2d30-3033-3132-35379863ad69,2019,WAS,Paul Richardson,WR
P.Rivers,32013030-2d30-3032-3239-34322bc30020,2012,LAC,Philip Rivers,QB
P.Supernaw,32013030-2d30-3032-3839-3837dec5c751,2014,BAL,Phillip Supernaw,TE
P.Supernaw,32013030-2d30-3032-3839-3837dec5c751,2014,KC,Phillip Supernaw,TE
P.Supernaw,32013030-2d30-3032-3839-3837dec5c751,2015,TEN,Phillip Supernaw,TE
P.Supernaw,32013030-2d30-3032-3839-3837dec5c751,2016,TEN,Phillip Supernaw,TE
P.Supernaw,32013030-2d30-3032-3839-3837dec5c751,2017,TEN,Phillip Supernaw,TE
P.Tanner,32013030-2d30-3032-3836-31339a97b4aa,2011,DAL,Phillip Tanner,RB
P.Tanner,32013030-2d30-3032-3836-31339a97b4aa,2012,DAL,Phillip Tanner,RB
P.Tanner,32013030-2d30-3032-3836-31339a97b4aa,2013,DAL,Phillip Tanner,RB
P.Thomas,32013030-2d30-3032-3438-3133caab8d39,2011,NO,Pierre Thomas,RB
P.Thomas,32013030-2d30-3032-3438-3133caab8d39,2012,NO,Pierre Thomas,RB
P.Thomas,32013030-2d30-3032-3438-3133caab8d39,2013,NO,Pierre Thomas,RB
P.Thomas,32013030-2d30-3032-3438-3133caab8d39,2014,NO,Pierre Thomas,RB
P.Thomas,32013030-2d30-3032-3438-3133caab8d39,2015,WAS,Pierre Thomas,RB
P.Turner,32013030-2d30-3032-3730-3539b8ff4033,2011,NYJ,Patrick Turner,WR
P.Turner,32013030-2d30-3032-3730-3539b8ff4033,2012,NYJ,Patrick Turner,WR
P.Turner,32013030-2d30-3033-3238-3431309aab50,2016,PHI,Paul Turner,WR
P.Williams,32013030-2d30-3033-3533-353068f7cec1,2019,MIA,Preston Williams,WR
Q.Bray,32013030-2d30-3033-3135-313427cccc31,2016,IND,Quan Bray,WR
Q.Bray,32013030-2d30-3033-3135-313427cccc31,2017,IND,Quan Bray,WR
Q.Dunbar,32013030-2d30-3033-3230-3037b85a2511,2016,WAS,Quinton Dunbar,DB
Q.Enunwa,32013030-2d30-3033-3130-3233cde32046,2015,NYJ,Quincy Enunwa,WR
Q.Enunwa,32013030-2d30-3033-3130-3233cde32046,2016,NYJ,Quincy Enunwa,WR
Q.Enunwa,32013030-2d30-3033-3130-3233cde32046,2018,NYJ,Quincy Enunwa,WR
Q.Enunwa,32013030-2d30-3033-3130-3233cde32046,2019,NYJ,Quincy Enunwa,WR
Q.Johnson,32013030-2d30-3032-3731-3036d0f99bdd,2011,TEN,Quinn Johnson,FB
Q.Johnson,32013030-2d30-3032-3731-3036d0f99bdd,2012,TEN,Quinn Johnson,FB
Q.Johnson,32013030-2d30-3032-3731-3036d0f99bdd,2013,TEN,Quinn Johnson,FB
Q.Ollison,32013030-2d30-3033-3532-373322819b4b,2019,ATL,Qadree Ollison,RB
Q.Patton,32013030-2d30-3033-3034-353029c6f137,2013,SF,Quinton Patton,WR
Q.Patton,32013030-2d30-3033-3034-353029c6f137,2014,SF,Quinton Patton,WR
Q.Patton,32013030-2d30-3033-3034-353029c6f137,2015,SF,Quinton Patton,WR
Q.Patton,32013030-2d30-3033-3034-353029c6f137,2016,SF,Quinton Patton,WR
Q.Porter,32013030-2d30-3032-3734-33376b536f46,2011,LA,Quinn Porter,RB
R.Agnew,32013030-2d30-3033-3036-35339eb879c7,2014,CLE,Ray Agnew,FB
